Country Name,Country Code,Indicator Name,Indicator Code,2016
Aruba,ABW,"Population, total",SP.POP.TOTL,104822
Afghanistan,AFG,"Population, total",SP.POP.TOTL,34656032
Angola,AGO,"Population, total",SP.POP.TOTL,28813463
Albania,ALB,"Population, total",SP.POP.TOTL,2876101
Andorra,AND,"Population, total",SP.POP.TOTL,77281
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9269612
Argentina,ARG,"Population, total",SP.POP.TOTL,43847430
Armenia,ARM,"Population, total",SP.POP.TOTL,2924816
American Samoa,ASM,"Population, total",SP.POP.TOTL,55599
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,100963
Australia,AUS,"Population, total",SP.POP.TOTL,24127159
Austria,AUT,"Population, total",SP.POP.TOTL,8747358
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9762274
Burundi,BDI,"Population, total",SP.POP.TOTL,10524117
Belgium,BEL,"Population, total",SP.POP.TOTL,11348159
Benin,BEN,"Population, total",SP.POP.TOTL,10872298
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,18646433
Bangladesh,BGD,"Population, total",SP.POP.TOTL,162951560
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7127822
Bahrain,BHR,"Population, total",SP.POP.TOTL,1425171
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,391232
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3516816
Belarus,BLR,"Population, total",SP.POP.TOTL,9507120
Belize,BLZ,"Population, total",SP.POP.TOTL,366954
Bermuda,BMU,"Population, total",SP.POP.TOTL,65331
Bolivia,BOL,"Population, total",SP.POP.TOTL,10887882
Brazil,BRA,"Population, total",SP.POP.TOTL,207652865
Barbados,BRB,"Population, total",SP.POP.TOTL,284996
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,423196
Bhutan,BTN,"Population, total",SP.POP.TOTL,797765
Botswana,BWA,"Population, total",SP.POP.TOTL,2250260
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4594621
Canada,CAN,"Population, total",SP.POP.TOTL,36286425
Switzerland,CHE,"Population, total",SP.POP.TOTL,8372098
Channel Islands,CHI,"Population, total",SP.POP.TOTL,164541
Chile,CHL,"Population, total",SP.POP.TOTL,17909754
China,CHN,"Population, total",SP.POP.TOTL,1378665000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,23695919
Cameroon,CMR,"Population, total",SP.POP.TOTL,23439189
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,78736153
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5125821
Colombia,COL,"Population, total",SP.POP.TOTL,48653419
Comoros,COM,"Population, total",SP.POP.TOTL,795601
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,539560
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4857274
Cuba,CUB,"Population, total",SP.POP.TOTL,11475982
Curacao,CUW,"Population, total",SP.POP.TOTL,159999
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,60765
Cyprus,CYP,"Population, total",SP.POP.TOTL,1170125
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10561633
Germany,DEU,"Population, total",SP.POP.TOTL,82667685
Djibouti,DJI,"Population, total",SP.POP.TOTL,942333
Dominica,DMA,"Population, total",SP.POP.TOTL,73543
Denmark,DNK,"Population, total",SP.POP.TOTL,5731118
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10648791
Algeria,DZA,"Population, total",SP.POP.TOTL,40606052
Ecuador,ECU,"Population, total",SP.POP.TOTL,16385068
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,95688681
Spain,ESP,"Population, total",SP.POP.TOTL,46443959
Estonia,EST,"Population, total",SP.POP.TOTL,1316481
Ethiopia,ETH,"Population, total",SP.POP.TOTL,102403196
Finland,FIN,"Population, total",SP.POP.TOTL,5495096
Fiji,FJI,"Population, total",SP.POP.TOTL,898760
France,FRA,"Population, total",SP.POP.TOTL,66896109
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,49117
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,104937
Gabon,GAB,"Population, total",SP.POP.TOTL,1979786
United Kingdom,GBR,"Population, total",SP.POP.TOTL,65637239
Georgia,GEO,"Population, total",SP.POP.TOTL,3719300
Ghana,GHA,"Population, total",SP.POP.TOTL,28206728
Gibraltar,GIB,"Population, total",SP.POP.TOTL,34408
Guinea,GIN,"Population, total",SP.POP.TOTL,12395924
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2038501
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1815698
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1221490
Greece,GRC,"Population, total",SP.POP.TOTL,10746740
Grenada,GRD,"Population, total",SP.POP.TOTL,107317
Greenland,GRL,"Population, total",SP.POP.TOTL,56186
Guatemala,GTM,"Population, total",SP.POP.TOTL,16582469
Guam,GUM,"Population, total",SP.POP.TOTL,162896
Guyana,GUY,"Population, total",SP.POP.TOTL,773303
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7346700
Honduras,HND,"Population, total",SP.POP.TOTL,9112867
Croatia,HRV,"Population, total",SP.POP.TOTL,4170600
Haiti,HTI,"Population, total",SP.POP.TOTL,10847334
Hungary,HUN,"Population, total",SP.POP.TOTL,9817958
Indonesia,IDN,"Population, total",SP.POP.TOTL,261115456
Isle of Man,IMN,"Population, total",SP.POP.TOTL,83737
India,IND,"Population, total",SP.POP.TOTL,1324171354
Ireland,IRL,"Population, total",SP.POP.TOTL,4773095
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,80277428
Iraq,IRQ,"Population, total",SP.POP.TOTL,37202572
Iceland,ISL,"Population, total",SP.POP.TOTL,334252
Israel,ISR,"Population, total",SP.POP.TOTL,8547100
Italy,ITA,"Population, total",SP.POP.TOTL,60600590
Jamaica,JAM,"Population, total",SP.POP.TOTL,2881355
Jordan,JOR,"Population, total",SP.POP.TOTL,9455802
Japan,JPN,"Population, total",SP.POP.TOTL,126994511
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,17797032
Kenya,KEN,"Population, total",SP.POP.TOTL,48461567
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6082700
Cambodia,KHM,"Population, total",SP.POP.TOTL,15762370
Kiribati,KIR,"Population, total",SP.POP.TOTL,114395
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,54821
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51245707
Kuwait,KWT,"Population, total",SP.POP.TOTL,4052584
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6758353
Lebanon,LBN,"Population, total",SP.POP.TOTL,6006668
Liberia,LBR,"Population, total",SP.POP.TOTL,4613823
